Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
309,SA_0000001688,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2003,SEX,SEX_MLE,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2024-06-21T08:49:58Z,2003,2003-01-01,2003-12-31
1450,SA_0000001688,COUNTRY,CHE,EUR,Europe,YEAR,2000,SEX,SEX_FMLE,,,,,,,5.7 [4.1 - 7.3],5.71776,4.12261,7.30237,,2024-06-21T08:49:58Z,2000,2000-01-01,2000-12-31
2149,SA_0000001688,COUNTRY,MEX,AMR,Americas,YEAR,2012,SEX,SEX_BTSX,,,,,,,4.9 [2.6 - 7.3],4.92457,2.56311,7.34338,,2024-06-21T08:49:58Z,2012,2012-01-01,2012-12-31
3987,SA_0000001688,COUNTRY,COG,AFR,Africa,YEAR,2000,SEX,SEX_BTSX,,,,,,,2.8 [1.3 - 4.5],2.83255,1.33147,4.48262,,2024-06-21T08:49:58Z,2000,2000-01-01,2000-12-31
6097,SA_0000001688,COUNTRY,IND,SEAR,South-East Asia,YEAR,2012,SEX,SEX_MLE,,,,,,,8.3 [4.2 - 12.2],8.25404,4.20932,12.24148,,2024-06-21T08:49:58Z,2012,2012-01-01,2012-12-31
6502,SA_0000001688,COUNTRY,ECU,AMR,Americas,YEAR,2005,SEX,SEX_MLE,,,,,,,5.8 [3.2 - 8.6],5.80702,3.22564,8.59035,,2024-06-21T08:49:58Z,2005,2005-01-01,2005-12-31
6808,SA_0000001688,COUNTRY,CYP,EUR,Europe,YEAR,2009,SEX,SEX_BTSX,,,,,,,9.4 [6.6 - 12.5],9.43198,6.56167,12.52342,,2024-06-21T08:49:58Z,2009,2009-01-01,2009-12-31
7412,SA_0000001688,COUNTRY,VCT,AMR,Americas,YEAR,2020,SEX,SEX_BTSX,,,,,,,5.6 [3.2 - 8.1],5.6233,3.20511,8.10457,Data is for 2020 only; it is not a three-year average.,2024-06-21T08:49:58Z,2020,2020-01-01,2020-12-31
7746,SA_0000001688,COUNTRY,IRL,EUR,Europe,YEAR,2013,SEX,SEX_BTSX,,,,,,,11.7 [8.6 - 14.8],11.71939,8.6121,14.78368,,2024-06-21T08:49:58Z,2013,2013-01-01,2013-12-31
7763,SA_0000001688,COUNTRY,AND,EUR,Europe,YEAR,2010,SEX,SEX_FMLE,,,,,,,4.9 [3.5 - 6.5],4.94453,3.48387,6.50001,,2024-06-21T08:49:58Z,2010,2010-01-01,2010-12-31
8458,SA_0000001688,COUNTRY,SVK,EUR,Europe,YEAR,2009,SEX,SEX_BTSX,,,,,,,10.9 [7.7 - 14.0],10.89001,7.68664,14.02669,,2024-06-21T08:49:58Z,2009,2009-01-01,2009-12-31
8834,SA_0000001688,COUNTRY,GTM,AMR,Americas,YEAR,2016,SEX,SEX_BTSX,,,,,,,1.6 [0.5 - 2.8],1.62179,0.50746,2.79071,,2024-06-21T08:49:58Z,2016,2016-01-01,2016-12-31
9025,SA_0000001688,COUNTRY,MWI,AFR,Africa,YEAR,2020,SEX,SEX_BTSX,,,,,,,3.6 [1.7 - 5.7],3.61146,1.71227,5.65736,Data is for 2020 only; it is not a three-year average.,2024-06-21T08:49:58Z,2020,2020-01-01,2020-12-31
9714,SA_0000001688,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2017,SEX,SEX_FMLE,,,,,,,0.2 [0.0 - 0.4],0.16447,0.01967,0.38066,,2024-06-21T08:49:58Z,2017,2017-01-01,2017-12-31
10080,SA_0000001688,UNREGION,514,,,YEAR,2005,SEX,SEX_BTSX,,,,,,,10.9 [10.0-11.8],10.85353,9.95084,11.84921,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:21:55Z,2005,2005-01-01,2005-12-31
10136,SA_0000001688,COUNTRY,HRV,EUR,Europe,YEAR,2001,SEX,SEX_MLE,,,,,,,17.7 [11.2 - 24.6],17.74096,11.23478,24.57364,,2024-06-21T08:49:58Z,2001,2001-01-01,2001-12-31
11715,SA_0000001688,COUNTRY,CHE,EUR,Europe,YEAR,2014,SEX,SEX_MLE,,,,,,,17.0 [12.3 - 22.0],16.95942,12.3147,21.9582,,2024-06-21T08:49:58Z,2014,2014-01-01,2014-12-31
11793,SA_0000001688,COUNTRY,CZE,EUR,Europe,YEAR,2009,SEX,SEX_MLE,,,,,,,21.7 [16.6 - 27.3],21.6988,16.64376,27.25561,,2024-06-21T08:49:58Z,2009,2009-01-01,2009-12-31
12455,SA_0000001688,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2005,SEX,SEX_FMLE,,,,,,,0.1 [0.0 - 0.3],0.11369,0.00121,0.30869,,2024-06-21T08:49:58Z,2005,2005-01-01,2005-12-31
12702,SA_0000001688,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2017,SEX,SEX_FMLE,,,,,,,0.0 [0.0 - 0.2],0.04843,0,0.17394,,2024-06-21T08:49:58Z,2017,2017-01-01,2017-12-31
13296,SA_0000001688,COUNTRY,TCD,AFR,Africa,YEAR,2016,SEX,SEX_FMLE,,,,,,,1.4 [0.5 - 2.3],1.41071,0.51721,2.33629,,2024-06-21T08:49:58Z,2016,2016-01-01,2016-12-31
13475,SA_0000001688,COUNTRY,CPV,AFR,Africa,YEAR,2017,SEX,SEX_MLE,,,,,,,10.0 [6.2 - 14.0],9.97663,6.20588,14.00985,,2024-06-21T08:49:58Z,2017,2017-01-01,2017-12-31
14529,SA_0000001688,COUNTRY,DEU,EUR,Europe,YEAR,2012,SEX,SEX_FMLE,,,,,,,5.6 [4.0 - 7.2],5.56621,4.0086,7.1915,,2024-06-21T08:49:58Z,2012,2012-01-01,2012-12-31
